Clade,Genus,Species,Scientific name original,Life form,Source,Total DNA,2n,Ploidy,Base.species
Brachyscome,Brachyscome,sinclairii,Brachyscome sinclairii var sinclairii,forb,Burnett 2001,14.35,18,2,1
Brachyscome,Brachyscome,pinnata,Brachyscome sinclairii var pinnata,forb,Burnett 2001,15.45,18,2,1
Brachyscome,Brachyscome,humilis,Brachyscome humilis,forb,Burnett 2001,14.44,36,4,0
Brachyscome,Brachyscome,radicata,Brachyscome radicata,forb,Burnett 2001,37.99,90,10,0
Viola,Viola,filicaule,Viola filicaule,forb,Burnett 2001,6.32,24,4,1
Viola,Viola,cunninghamii,Viola cunninghamii,forb,Burnett 2001,5.954,48,8,0
Viola,Viola,lyallii,Viola lyallii,forb,Burnett 2001,6.6,72,12,0
Pratia/Lobelia,Pratia,,Pratia old man,forb,Burnett 2001,4.451,28,4,1
Pratia/Lobelia,Pratia,perpusilla,Pratia perpusilla,forb,Burnett 2001,4.484,42,6,0
Pratia/Lobelia,Pratia,angulata,Pratia angulata10,forb,Burnett 2001,7.611,70,10,0
Pratia/Lobelia,Pratia,arenaria,Pratia arenaria ch,forb,Burnett 2001,7.633,70,10,0
Pratia/Lobelia,Pratia,arenaria,Pratia arenaria ml,forb,Burnett 2001,7.55,70,10,0
Pratia/Lobelia,Pratia,angulata,Pratia angulata20,forb,Burnett 2001,14.822,140,20,0
Hydrocotyle,Hydrocotyle,dissecta,Hydrocotyle dissecta,forb,Burnett 2001,3.56,48,8,1
Hydrocotyle,Hydrocotyle,microphylla,Hydrocotyle microphylla,forb,Burnett 2001,5,48,8,1
Hydrocotyle,Hydrocotyle,moschata,Hydrocotyle moschata,forb,Burnett 2001,4.314,48,8,1
Hydrocotyle,Hydrocotyle,heteromeria,Hydrocotyle heteromeria,forb,Burnett 2001,3.47,60,10,0
Hydrocotyle,Hydrocotyle,novae-zealandiae var novae-zealandiae,Hydrocotyle novae-zealandiae,forb,Burnett 2001,5.006,72,12,0
Hydrocotyle,Hydrocotyle,sulcata,Hydrocotyle sulcata,forb,Burnett 2001,2.034,72,12,0
Hydrocotyle,Hydrocotyle,novae-zeelandiae var montana,Hydrocotyle nz var montana,forb,Burnett 2001,6.475,132,22,0
Hydrocotyle,Hydrocotyle,hydrophila,Hydrocotyle hydrophila,forb,Burnett 2001,5.98,144,24,0
Leptinella,Leptinella,albida,Leptinella albida,forb,This study,3.2925,52,4,1
Leptinella,Leptinella,atratra,Leptinella atrata,forb,This study,3.2506,52,4,1
Leptinella,Leptinella,minor,Leptinella minor,forb,This study,3.185,52,4,1
