Clade,Base.species,binomial,Min_height_m,Max_height_m,Min_leaf_length_mm,Max_leaf_length_mm,Min_fruit_length_mm,Max_fruit_lenth_mm
Azorella,1,Azorella allanii,0.05,0.15,20,40,2.5,2.5
Azorella,1,Azorella roughii,0.05,0.1,10,40,2,2
Azorella,0,Azorella hookeri,0.05,0.15,15,15,2,3
Azorella,0,Azorella cockaynei,0.01,0.1,2,4,1.5,1.5
Azorella,0,Azorella nitens,0.05,0.15,3,4,,2
Azorella,0,Azorella colensoi,0.01,0.07,2.5,5,3,3
Brachyscome,1,Brachyscome sinclairii,0.05,0.1,10,30,2,3
Brachyscome,1,Brachyscome pinnata,0.05,0.1,15,80,,
Brachyscome,0,Brachyscome humilis,0.05,0.1,5,10,1.5,1.5
Brachyscome,0,Brachyscome radicata,0.05,0.1,12,60,2.5,4
Coprosma,1,Coprosma acerosa,,2,7,12,7,7
Coprosma,1,Coprosma arborea,,10,50,60,7,7
Coprosma,1,Coprosma dodonaeifolia,2,3,100,110,6,9
Coprosma,1,Coprosma grandifolia,,6,150,200,7,9
Coprosma,1,Coprosma lucida,,3,120,170,8,12
Coprosma,1,Coprosma repens,,8,20,80,10,10
Coprosma,1,Coprosma rhamnoides,,1,7,12,3,4
Coprosma,1,Coprosma rigida,,2,10,20,4,6
Coprosma,1,Coprosma rugosa,,3,10,14,6,8
Coprosma,1,Coprosma serrulata,,1,40,70,7,8
Coprosma,1,Coprosma spathulata spathulata,,2,10,20,6,8
Coprosma,1,Coprosma macrocarpa macrocarpa,,5,90,130,10,25
Coprosma,1,Coprosma macrocarpa minor,,6,45,90,5,10
Coprosma,1,Coprosma petriei,0.05,0.1,5,5,6,8
Coprosma,1,Coprosma rotundifolia,2,3,20,25,4,5
Coprosma,1,Coprosma virescens,,2,5,9,5,6
Coprosma,1,Coprosma rubra,,2,10,15,4,6
Coprosma,1,Coprosma cuneata,,1,10,16,4,5
Coprosma,0,Coprosma cheesemanii,,0.5,8,11,6,7
Coprosma,0,Coprosma fowerakeri,,0.6,5,7,4,5
Coprosma,0,Coprosma dumosa,,7,6.4,12.5,4,7.7
Coprosma,0,Coprosma foetidissima,,3,30,50,7,10
Coprosma,0,Coprosma perpusilla perpusilla,0.05,0.1,4.5,7,4,7.5
Coprosma,0,Coprosma pseudocuneata,,3,15,20,5,6
Coprosma,0,Coprosma crassifolia,1,2,6,10,5,6
Coprosma,0,Coprosma atropurpurea,,0.05,4,8.3,12,12
Coprosma,0,Coprosma cheesemanii 2,,0.5,8,11,6,7
Deyeuxia,1,Deyeuxia lacustris,0.18,0.3,20,90,2,2
